titulo,autor,exemplar,area
RICK MARTIN,ROD SMITH,EX.01,INGLES
RICK MARTIN,ROD SMITH,EX.02,INGLES
STORIES FOR EVERYONE,DONN BYRNE,EX.02,INGLES
STORIES FOR EVERYONE,DONN BYRNE,EX.01,INGLÊS
THE ELEPHANT MAN,TIM VICARY,EX.02,INGLES
SHONEN SUNDAY COMICS 09,MANGA,EX.01,JAPONES
SHONEN SUNDAY COMICS 11,MANGA,EX.02,JAPONES
SHONEN SUNDAY COMICS 12,MANGA,EX.03,JAPONES
SHONEN SUNDAY COMICS 16,MANGA,EX. 04,JAPONES
SHONEN SUNDAY COMICS 17,MANGA,EX.05,JAPONES
SHONEN SUNDAY COMICS 19,MANGA,EX.06,JAPONES
SHONEN SUNDAY COMICS 24,MANGA,EX.07,JAPONES
SHONEN SUNDAY COMICS 27,MANGA,EX.08,JAPONES
SHONEN SUNDAAY COMICS 08,MANGA,EX.09,JAPONES
SHAMAN KING 11,HIROYUKI TAKEI,EX.01,JAPONES
QUI ITALIA NIVEL MEDIO,ALBERTO MAZETTI,1,ITALIANO
ITALIA APRESENTAçãO -PAIS ETC,MARIO NILO,1,ITALIANO
LINEA DIRECTA (2) CURSO DE ITALIANO NIVEL MEDIO,CORRADO CONFORTI,01 S/CD,ITALIANO
STORIA DE ROMA,INDRO MONTANELLI,1,ITALIANO
NOVELLS DI ANDERSEN,ZIO FANTASSO,1,ITALIANO
LA SELVAGGIA,HELEN CONRAD,1,ITALIANO
NON CHEDERE DI PIU,LEIGH MICHAELS,1,ITALIANO
QUELLA TENERA AMICIZIA,MARY MOORE,1,ITALIANO
COLETANEA,MIKHAIL BULGAROV,EX.01,RUSSO
RESSURREICAO,LIEV TOLSTOI,EX.01,RUSSO
MIRGOROD,NIKOLAI GOGOL,EX.01,RUSSO
PECAS (1886-1910),LIEV TOLSTOI,EX.01,RUSSO
NOVELAS E CONTOS (1872-1886),LIEV TOLSTOI,EX.01,RUSSSO
A CASA DA GATA,S. MARCHAK,EX.01,RUSSO
COMO O GANSINHO CACOU A RAPOSA,G. OSTER,EX.01,RUSSO
O URSINHO,DESCONHECIDO,EX.01,RUSSO
NIKITA E SEUS AMIGOS,DESCONHECIDO,EX.01,RUSSO
O PASSEIO,J. KSVALEVSKAIA,EX.01,RUSSO
COMO O GANSINHO CACOU A RAPOSA,G. OSTER,EX.02,RUSSO
O URSO GRISALHO,V. DONILOV,EX.01,RUSSO
O GATO DE BOTAS,CHARLES PERROUT,EX.01,RUSSO
CHAPEUZINHO VERMELHO,CHARLES PERRAUT,EX.01,RUSSO
A POMBINHA E A FORMIGA,TOLSTOI,EX.01,RUSSO
O REVISOR,GOGOL,EX.01,RUSSO
POBRE LISA,NICOLAI KARAMAZIN,EX.01,RUSSO
PITOMNIC (VIVEIRO) I,POLINA DACHOKOVA,EX.01,RUSSO
PITOMNNIC (VIVEIRO) II,POLINA DACHOKOVA,EX.01,RUSSO
PITOMNIC (VIVEIRO) III,POLINA DACHOKOVA,EX.01,RUSSO
NOVELAS E CONTOS,V.F. ODOIEVSKI,EX.01,RUSSO
JANTAR CO COBRA PARA SOBREMESA,GERALD DURELL,EX.01,RUSSO
"EM UM MES, EM UM ANOI",FRANCOISE SAGAN,EX.01,RUSSO
ESCRITORES SOVIETICOS,VALENTIM RASPUTIM,EX.01,RUSSO
NOSSOS,SERGUEI DOVATLOV,EX.01,RUSSO
A FOLHA QUE CAI,VITOR ASTAPEV,EX.01,RUSSO
GUERRA,IVA STDNUIUK,EX.01,RUSSO
RUIVA-QUESTAO FAMILIAR,POLINA DELVING,EX.01,RUSSO
TRES ESPOSAS,ELENA BOGATERIOVA,EX.01,RUSSO
NAQUELE TEMPO EU FUI HOSPEDE NA TERRA,ANNA AKHMATOVA,EX.01,RUSSO
ANNA KARENINA -PARTES 1/4,LIEV TOSTOI,EX.01,RUSSO
CIDADE PERDIDA,ARKADI S. BORIS S.,EX.01,RUSSO
LICOES DE FRANCES -NOVELA,VALENTIN RASPUTIN,EX.01,RUSSO
ESTRONDOS,DENIS BULIAKOV,EX.01,RUSSO
NOVELAS,VALENTIN RASPUTIN,EX.01,RUSSO
RESSURREICAO -NOVELAS E CONTOS,LIEV TOLSTOI,EX.01,RUSSO
EXERCICIOS EM JOGOS,A.R. ARUTIONOV,EX.01,RUSSO
SEVEN STORIES OF MYSTERY AND HORROR,EDGAR ALLAN POE,EX.01,INGLES
SIGN OF TOUR,SIR ARTHUR CONNAN DOYLE,EX.01,INGLES
"NA REGIAO DAS MONTANHAS,JARDINS E VIDEIRAS",SERGUEI ARUTIONOV,EX.01,RUSSO
CONTOS,V. GAUF,EX.01,RUSSO
PEDREIRA,VASIL BYKOV,EX.01,RUSSO
NOVELAS,ALBERT LIKHANOV,EX.01,RUSSO
JE T AIME MA VIE,A.V.ABRAMOVITCH,EX.01,RUSSO
ANTOLOGIA DA PROSA SOVIETICA-1920A1940,DESCONHECIDO,EX.01,RUSSO
NOITES BRANCAS,FIODOR DOSTOIWISK,EX.02,RUSSO
TUK TUK TUK -HISTORIAS INFANTIS,DESCONHECIDO,EX.01,RUSSO
0 PRESENTE DO PASTOR IVAN,VLADIMIR PRIKHODKO,EX.03,RUSSO
DICIONARIO RUSSO PORTUGUES-EDICAO 1975,DESCONHECIDO,EX.01,RUSSO
GUERRA E PAZ-EDICAO 1944,TOLSTOI,EX.01,RUSSO
VAMOS LA-REVISTA MENSAL,DESCONHECIDO,EX.01,RUSSO
VAMOS LA-REVISTA MENSAL,DESCONHECIDO,EX.02,RUSSO
VAMOS LA- REVISTA MENSAL,DESCONHECIDO,EX.03,RUSSO
EXERCICIOS DE LINGUA RUSSA-1981,S. JAVRONINA,EX.01,RUSSO
EXERCICIOS DE LINGUA RUSSA 1981,S. LAVRONINA,EX.02,RUSSO
EL VERBO RUSO,TRADUCAO-E. BELIAYEV,EX.01,RUSSO
RUSSO PARA TODOS -MANUAL,NAO CONSTA,EX.01,RUSSO
EXERCICIOS DE LINGUA RUSSA,S. JAVRONINA,EX.02,RUSSO
CDS EM RUSSO,DIVERSOS,DIVERSOS,RUSSO
BEIJOS PERDIDOS,DESCONHECIDO,EX.01,RUSSO
