titulo,autor,exemplar,area
áREA DE HEBRAICO,DIVERSOS,,HEBRAICO
DICIONARIO BASICO PORTUGUES HEBRAICO,SOCIEDADE ESRAELITA DE SAO PAULO -1988,EX.01,HEBRAICO
DICIONARIO BASICO -HEBRAICO PORTUGUES,R. BALGUR H. IUSIM,EX.01,HEBRAICO
DICTIONAR EBRAIC-ROMIN,SINAI-TEL-AVIV-1972,EX.01,HEBRAICO
PEQUENO DICIONARIO PORTUGUES-HEBRAICO,HUZEFF ZLOCHEVSKY,EX.01,HEBRAICO
DICIONARIO HEBRAICO-HEBRAICO,DESCONHECIDO,EX.01,HEBRAICO
DICIONARIO HEBRAICO PORTUGUES,IDEL ZITMAN,EX.01,HEBRAICO
ENCYCLOPAEDIA BRITANNICA -15 TH EDITION -,ROBERT P. GWINN,EX.01- I ~ K,INGLÊS
THE NEW ENC.BRITHÂNNICA 15TH-EDITION,ROBERT P. GWINN,EX.01,INGLES
PROPAEDIA OUTLINE OF KNOWLEDGE-GUIDE TO BRITANNICA,ROBERT P. GWINN,EX.01,INGLES
THE NEW ENC.BRITHÂNNICA 15TH-EDITION,ROBERT P. GWINN,EX.02,INGLES
THE NEW ENC.BRITHÂNNICA 15TH-EDITION,ROBERT P. GWINN,EX.03,INGLES
ENCYCLOPAEDIA BRITANNICA BOOKS OF THE YEAR,ROBERT P. GWINN,EX.01,INGLES
ENCYCLOPAEDIA BRITANNICA ANNUAL-1990-WORLD DATA,DIVERSOS,EX.01,INGLES
ENCYCLOPAEDIA BRITANNICA PROPAEDIA-GUIDE TO BRITANNICA,DIVERSOS,EX.01,INGLES
ENCYCLOPAEDIA BRITANNICA 1991-BOOK OF THE YEAR-EVENTS 1990,DIVERSOS,EX.01,INGLES
ENCYCLPAEDIA BRITANNICA 1992-EVENTS 1991,DIVERSOS,EX.01,INGLES
ENCYCLOPAEDIA BRITANNICA 1993-EVENTS 1992,DIVERSOS,EX.01,INGLES
ENCYCLOPAEDIA BRITANNICA -1994 EVENTS 1993,DIVERSOS,EX.01,INGLES
ENCYCLOPAEDIA BRITANNICA 1995- EVENTS 1994,DIVERSOS,EX.01,INGLES
FIRTST CERTIFICATE ORGANIZER- EXAM. PREP.,JHON FLOWER,EX.01,INGLES
CONTENPORARY TOPICS,DAVID BEGLAR,EX.01,INGLES
CAMBRIDGE FIRST CERTIFICATE IN ENGLISH-C/ CD,CAMBRIDG1997,EX.01,INGLES
CORPORATE CITIZENSHIP,MALCOLM MCINTOSH,EX.01,INGLES
THE CASSELL THESAURUS-1998(1),CASSEL,EX.01,INGLES
OXFORD THESSAURUS OF ENGLISH,OXFORD UNIVERSITY,EX.01-EX.02-,INGLES
SEMIOTICS,WINFRIED NOTH,EX.01,INGLES
DICIONARIOS,DIVERSOS,,INGLES
WIBSTERS-SECOND EDITION,SIMON AND SCHUSTER,EX.01,INGLES
MODERNO DICIONARIO DE INGLES-PORT.INGLES -INGLES PORTUGUES,MICHAELIS (MELHORAMENTOS),EX.01,INGLES
NTCS-AMARICAN ENGLISH-C/ CD-1998,RICHARD A. SPEARS,EX.01,INGLES
VISUAL DICTIONARY 2000,DORLINZ KINDESLEY,EX.01,INGLES
